fpr,tpr
0.0,0.0
0.0,0.0003432438175250486
0.0,0.000931661790425132
0.0,0.0019777381866919468
0.0,0.0020267730177669536
0.0,0.0022392572857586504
0.0,0.0026642258217420443
0.0,0.0029093999771170787
0.0,0.0033343685131004726
0.0,0.004429479740442294
0.0,0.004641964008433991
0.0,0.006930256125267649
0.0,0.008499370719667871
0.0,0.012454847093051764
0.0,0.0630261028750756
0.0,0.07917490724244455
0.0,0.09937725764534741
0.0,0.10439515535868979
0.0,0.10938036318464883
0.0,0.11959595299194194
0.0,0.12899429561465162
0.0,0.14345957078177865
0.0,0.1642503391575816
0.0,0.1698893447312074
0.0,0.1782579559013419
0.0,0.1996044523626616
0.0,0.2057174613033458
0.0,0.2115199163138883
0.0,0.22387669374479005
0.0,0.23013680717869928
0.0,0.23888135205374217
0.0,0.24404635426030957
0.0,0.2482470047890685
0.0,0.2549320867589611
0.0,0.2624017260260538
0.0,0.2660139585819127
0.0,0.2694463967571632
0.0,0.2724211765090469
0.0,0.27503636749971394
0.0,0.282391592160965
0.0,0.284663539334107
0.0,0.286984521338324
0.0,0.2927706314051748
0.0,0.2946176100423334
0.0,0.29770680440005887
0.0,0.29922688416338405
0.0,0.30055082460240923
0.0,0.3036400189601347
0.0,0.30587927624589334
0.0,0.3074157009529102
0.0,0.30913192004053547
0.0,0.31060296497278567
0.0,0.31266242787793597
0.0,0.3140680930354195
0.0,0.3152939638122947
0.0,0.31709190761837824
0.0,0.31835046828263674
0.0,0.3196417188342786
0.0,0.32057338062470375
0.0,0.3221098053317206
0.0,0.32346643565812916
0.0,0.32479037609715433
0.0,0.32583645249342114
0.0,0.3273074974256714
0.0,0.32827184910347984
0.0,0.32943234010558836
0.0,0.33096876481260523
0.0,0.3321456007584054
0.0,0.33306091760513884
0.0,0.3345156175936974
0.0,0.33552900410258085
0.0,0.3363952861182393
0.0,0.33713080858436445
0.0,0.3379480557689479
0.0,0.33884702767198965
0.0,0.3398277242934898
0.0,0.3407757310276066
0.0,0.3416093231558817
0.0,0.3427371242706069
0.0,0.34379954561056536
0.0,0.3445677579640738
0.0,0.3463657017701574
0.0,0.348261715238391
0.0,0.34961834556479954
0.0,0.35061538712999135
0.0,0.35149801408934145
0.0,0.35228257138654157
0.0,0.3530344387963584
0.0,0.3538680309246335
0.0,0.3546852781092169
0.0,0.355469835406417
0.0,0.35628708259100045
0.0,0.35713701966296724
0.0,0.3578071623543257
0.0,0.35850999493306746
0.0,0.3592782072865759
0.0,0.35996469492162597
0.0,0.3607002173877511
0.0,0.3612886353606512
0.0,0.3619587780520096
0.0,0.36267795557444304
0.0,0.36315195894150143
0.0,0.3638221016328599
0.0,0.36454127915529333
0.0,0.3650152825223517
0.0,0.36573446004478516
0.0,0.3667478465536686
